Teorema di Pitagora,Spigolo,1
Decagono,Bidimensionalità,0
Poliedro,Sistema di riferimento cartesiano,0
Segmento,Angolo,0
Riflessione (geometria),Rotazione (matematica),1
Circonferenza,Asse di un segmento,0
Lunghezza di un arco,Tangente (geometria),0
Angolo,Riflessione (geometria),0
Punto (geometria),Sistema di coordinate,0
Triangolo,Congruenza (geometria),0
Teorema della bisettrice,Segmento,1
Tassellatura,Aquilone (geometria),0
Punto (geometria),Lunghezza di un arco,0
Asse di un segmento,Trapezio,0
Asse di un segmento,Diametro,0
Terna pitagorica,Spigolo,1
Punto medio,Diagonale,0
Funzione trigonometrica inversa,Seno (matematica),1
Similitudine (geometria),Teorema di Pitagora,0
Tassellatura,Triangolo,0
Poliedro,Spigolo,1
Poliedro,Trapezio,0
Teorema di Pitagora,Parallelogramma,0
Bidimensionalità,Esagono,0
Bidimensionalità,Pentagono,0
Parallelogramma,Geometria,1
Quadrato,Sistema di coordinate,0
Perpendicolarità,Angolo retto,0
Asse di un segmento,Parallelogramma,0
Traslazione (geometria),Geometria,1
Geometria,Angolo,0
Segmento,Congruenza (geometria),0
Poligono,Simmetria,0
Geometria,Poligono stellato,0
Quadrato,Spigolo,1
Trapezio,Angolo retto,0
Distanza (matematica),Raggio (geometria),0
Geometria,Triangolo,0
Perpendicolarità,Tangente (geometria),0
Segmento,Spigolo,0
Piramide (geometria),Triangolo,0
Rombo (geometria),Faccia (geometria),0
Punto medio,Parallelogramma,0
Angolo,Congruenza (geometria),0
Segmento,Perpendicolarità,0
Prisma,Geometria,1
Piano (geometria),Sistema di riferimento cartesiano,0
Triangolo rettangolo,Punto (geometria),1
Similitudine (geometria),Quadrato,0
Spigolo,Ennagono,0
Bidimensionalità,Riflessione (geometria),0
Sezione (geometria descrittiva),Poliedro,0
Vertice (geometria),Triangolo isoscele,0
Circonferenza,Triangolo,0
Vertice (geometria),Triangolo rettangolo,0
Teorema di Pitagora,Triangolo isoscele,0
Punto medio,Similitudine (geometria),0
Spazio (matematica),Punto (geometria),0
Quadrato,Faccia (geometria),0
Triangolo,Rettangolo,0
Punto medio,Trapezio,0
Triangolo isoscele,Triangolo,1
Prisma,Spigolo,1
Asse di un segmento,Aquilone (geometria),0
Collinearità,Retta,1
Poligono stellato,Decagono,0
Triangolo isoscele,Tangente (geometria),0
Retta,Rombo (geometria),0
Vertice (geometria),Diagonale,0
Perpendicolarità,Corda (geometria),0
Segmento,Circonferenza,0
Segmento,Corda (geometria),0
Piramide (geometria),Tangente (geometria),0
Cono,Piramide (geometria),0
Bidimensionalità,Ettagono,0
Rombo (geometria),Simmetria,0
Perpendicolarità,Triangolo,0
Rombo (geometria),Similitudine (geometria),0
Bidimensionalità,Rettangolo,0
Distanza (matematica),Triangolo rettangolo,0
Pendenza topografica,Coefficiente angolare,1
Triangolo equilatero,Punto (geometria),1
Geometria,Esagono,0
Punto medio,Tangente (geometria),0
Parallelogramma,Tassellatura,0
Teorema di Pitagora,Angolo retto,1
Tangente (geometria),Cono,0
Poligono stellato,Punto (geometria),1
Punto (geometria),Parallelogramma,0
Raggio (geometria),Lunghezza di un arco,0
Cono,Angolo,0
Funzione trigonometrica,Tangente (geometria),0
Rettangolo,Piramide (geometria),0
Punto medio,Poligono,0
Quadrato,Teorema di Pitagora,0
Trapezio,Triangolo,0
Punto (geometria),Sistema di riferimento cartesiano,0
Collinearità,Distanza (matematica),0
Angolo,Retta,1
Triangolo,Segmento,1
Angolo,Rombo (geometria),0
Geometria,Sfera,0
Lunghezza di un arco,Segmento,0
Sistema di riferimento cartesiano,Raggio (geometria),0
Sfera,Sistema di coordinate,0
Triangolo,Sistema di coordinate,0
Congruenza (geometria),Sfera,0
Angolo,Punto medio,0
Similitudine (geometria),Geometria,1
Cilindro (geometria),Sfera,0
Coefficiente angolare,Distanza (matematica),0
Endecagono,Punto (geometria),1
Collinearità,Asse di un segmento,0
Piano (geometria),Punto (geometria),0
Diagonale,Aquilone (geometria),0
Collinearità,Punto medio,0
Sistema di riferimento cartesiano,Spazio (matematica),0
Poligono,Raggio (geometria),0
Dodecagono,Pentagono,0
Funzione trigonometrica,Sistema di riferimento cartesiano,0
Funzione trigonometrica inversa,Retta,1
Lunghezza di un arco,Triangolo rettangolo,0
Triangolo,Spigolo,1
Punto medio,Teorema della bisettrice,0
Tangente (geometria),Segmento,1
Piano (geometria),Faccia (geometria),0
Simmetria,Trapezio,0
Circonferenza,Perpendicolarità,0
Poligono,Prisma,0
Rombo (geometria),Piramide (geometria),0
Segmento,Distanza (matematica),0
Retta,Esagono,0
Punto (geometria),Terna pitagorica,0
Segmento,Tangente (geometria),0
Vertice (geometria),Tangente (geometria),0
Triangolo equilatero,Poligono,1
Triangolo rettangolo,Similitudine (geometria),0
Teorema di Pitagora,Seno (matematica),0
Triangolo,Poligono,1
Funzione trigonometrica,Triangolo,1
Quadrilatero,Geometria,1
Tangente (geometria),Vertice (geometria),1
Sezione (geometria descrittiva),Segmento,0
Perpendicolarità,Asse di un segmento,0
Diagonale,Circonferenza,0
Ottagono,Punto (geometria),1
Angolo retto,Sistema di coordinate,0
Ennagono,Poligono,1
Tangente (geometria),Parallelogramma,0
Congruenza (geometria),Riflessione (geometria),0
Rotazione (matematica),Angolo,1
Teorema di Pitagora,Congruenza (geometria),0
Segmento,Poligono stellato,0
Sistema di riferimento cartesiano,Circonferenza,0
Teorema di Pitagora,Triangolo equilatero,0
Triangolo,Funzione trigonometrica inversa,0
Geometria,Rotazione (matematica),0
Arco (geometria),Lunghezza di un arco,0
Triangolo rettangolo,Punto medio,0
Retta,Coefficiente angolare,0
