Distanza (matematica),Lavoro (fisica),0
Lavoro (fisica),Fisica,1
Frequenza,Principio di Huygens-Fresnel,0
Isolatore,Isolante elettrico,0
Onda,Distanza (matematica),0
Velocità,Distanza (matematica),1
Campo gravitazionale terrestre,Fisica,1
Resistenza elettrica,Ohm,0
Forza di Coulomb,Spettro di emissione,0
Frequenza,Metro,0
Campo (fisica),Pianeta,0
Onda d'urto (fluidodinamica),Moto (fisica),1
Moto (fisica),Energia potenziale elettrica,0
Massa (fisica),Lavoro (fisica),0
Magnete,Temperatura,0
Interferenza (fisica),Ampiezza,1
Elettrone,Radiazione elettromagnetica,0
Indice di rifrazione,Elettrone,0
Metro,Indice di rifrazione,0
Urto,Pianeta,0
Ohmmetro,Resistenza elettrica,0
Linea di campo,Campo (fisica),0
Energia potenziale elettrica,Potenziale elettrico,0
Hertz,Onda,0
Fisica,Diffrazione,0
Hertz,Spettro elettromagnetico,0
Posizione,Caduta libera,0
Coulomb,Elettrone,0
Temperatura,Isolante elettrico,0
Lavoro (fisica),Velocità,0
Luce,Riflessione (fisica),0
Rifrazione,Lunghezza d'onda,0
Interazione gravitazionale,Caduta libera,0
Spettro di emissione,Elettrone,1
Energia potenziale,Campo magnetico,0
Lunghezza d'onda,Temperatura,0
Attrito,Coulomb,0
Moto (fisica),Pianeta,0
Fisica,Velocità,0
Elettrostatica,Differenza di potenziale elettrico,0
Forza,Resistenza meccanica,0
Differenza di potenziale elettrico,Ampiezza,0
Riflessione (fisica),Spettro elettromagnetico,0
Accelerazione,Energia potenziale,0
Rigidezza,Spostamento (cinematica),0
Ampiezza,Resistenza elettrica,0
Elettrostatica,Joule,0
Lunghezza d'onda,Interferenza (fisica),0
Elasticità (meccanica),Forza,1
Indice di rifrazione,Riflessione speculare,0
Campo magnetico,Indice di rifrazione,0
Velocità,Elettrone,0
Microscopio ottico,Luce,1
Campo gravitazionale terrestre,Campo gravitazionale,0
Spostamento (cinematica),Fisica,1
Elettrone,Telescopio,0
Sistema di riferimento inerziale,Forza,0
Chilogrammo,Principi della dinamica,0
Legge di gravitazione universale,Caduta libera,0
Legge di gravitazione universale,Energia,0
Spettroscopia di assorbimento,Frequenza,1
Moto (fisica),Urto elastico,0
Temperatura,Radiazione elettromagnetica,0
Distanza (matematica),Caduta libera,0
Attrito,Vettore (matematica),0
Resistenza elettrica,Corrente elettrica,1
Elettrone,Elettrostatica,0
Potenziale elettrico,Elettroscopio,0
Frequenza,Rifrazione,0
Campo magnetico,Campo gravitazionale terrestre,0
Onda,Equazione del moto,0
Interazione gravitazionale,Attrito,0
Momento meccanico,Campo magnetico,0
Radiazione elettromagnetica,Livello energetico,0
Legge di Hooke,Chilogrammo,0
Principi della dinamica,Chilogrammo,0
Massa (fisica),Interazione gravitazionale,0
Accelerazione,Campo gravitazionale terrestre,0
Elasticità (meccanica),Temperatura,0
Ingrandimento,Microscopio ottico,0
Forza,Legge di Hooke,0
Condensatore (elettrotecnica),Isolatore,0
Urto anelastico,Urto elastico,0
Interazione gravitazionale,Potenziale elettrico,0
Caduta libera,Accelerazione,1
Onda,Telescopio rifrattore,0
Scorrimento viscoso,Rigidezza,0
Capacità elettrica,Corrente elettrica,0
Energia meccanica,Urto elastico,0
Vettore (matematica),Campo elettrico,0
Moto (fisica),Forza,0
Radiazione elettromagnetica,Fisica,1
Riflessione speculare,Riflessione (fisica),1
Forza elettromotrice,Coulomb,0
Massa (fisica),Energia,0
Elettrostatica,Forza,1
Moto (fisica),Effetto Doppler,0
Interferenza (fisica),Lunghezza d'onda,1
Interferenza (fisica),Radiazione elettromagnetica,0
Accelerazione di gravità,Pianeta,0
Potenza (fisica),Moto (fisica),0
Velocità,Accelerazione di gravità,0
Magnetismo,Lunghezza,0
Sistema di riferimento,Massa (fisica),0
Equazione del moto,Posizione,1
Spettro di emissione,Forza di Coulomb,1
Energia potenziale elettrica,Lavoro (fisica),1
Lunghezza d'onda,Rifrazione,0
Joule,Massa (fisica),0
Distanza (matematica),Moto (fisica),0
Distanza (matematica),Boom sonico,0
Lunghezza d'onda,Raggio luminoso,0
Elettrostatica,Spostamento (cinematica),1
Energia,Accelerazione,0
Forza,Corrente elettrica,0
Corrente elettrica,Isolante elettrico,0
Campo gravitazionale,Potenziale elettrico,0
Sistema di riferimento,Spettro elettromagnetico,0
Interferenza (fisica),Distanza (matematica),0
Fisica,Spettro di emissione,0
Sistema di riferimento inerziale,Massa (fisica),0
Momento meccanico,Forza,1
Legge di gravitazione universale,Forza di Coulomb,0
Conduttore elettrico,Resistenza elettrica,0
Campo elettrico,Energia,1
Massa (fisica),Elettrone,0
Energia,Chilogrammo,0
Velocità,Equazione del moto,0
Ampiezza,Spostamento (cinematica),0
Forza,Sistema di riferimento non inerziale,0
Frequenza,Livello energetico,0
Urto elastico,Urto anelastico,0
Campo gravitazionale terrestre,Distanza (matematica),1
Moto (fisica),Velocità,0
Velocità,Sistema di riferimento inerziale,0
Resistenza elettrica,Circuiti in serie e in parallelo,0
Accelerazione,Sistema di riferimento non inerziale,0
Pianeta,Campo magnetico,0
Luce,Radiazione elettromagnetica,0
Onda trasversale,Radiazione elettromagnetica,0
Lavoro (fisica),Potenziale elettrico,0
Elettrostatica,Campo (fisica),1
Onda,Velocità,0
Pianeta,Urto,0
Massa (fisica),Telescopio,0
Lunghezza,Effetto fotoelettrico,0
Frequenza,Spettro elettromagnetico,0
Onda,Frequenza,0
Velocità di fase,Dispersione ottica,0
Campo gravitazionale terrestre,Accelerazione,1
Chilogrammo,Potenza (fisica),0
Fisica,Campo gravitazionale terrestre,0
Diffrazione,Lunghezza d'onda,0
Joule,Resistenza elettrica,0
Massa (fisica),Campo (fisica),0
Vettore (matematica),Sistema di riferimento inerziale,0
Elasticità (meccanica),Fatica (scienza dei materiali),0
Onda,Campo elettrico,0
Massa (fisica),Lunghezza d'onda,0
Velocità,Leva (fisica),0
Forza,Plasticità (fisica),0
Telescopio,Telescopio rifrattore,0
Energia potenziale elettrica,Campo elettrico,1
Forza,Moto parabolico,0
Accelerazione di gravità,Accelerazione,1
Spettro elettromagnetico,Effetto fotoelettrico,0
Lunghezza d'onda,Telescopio,0
Durezza,Chilogrammo,0
Frequenza,Radiazione elettromagnetica,0
Magnetismo,Capacità elettrica,0
Chilogrammo,Potenziale elettrico,0
Spettro di emissione,Livello energetico,1
Laser,Interferenza (fisica),0
Raggio luminoso,Interferenza (fisica),0
Ingrandimento,Telescopio rifrattore,0
Riflessione speculare,Distanza (matematica),0
Laser,Effetto fotoelettrico,0
Magnete,Elettrone,0
Forza,Potenza (fisica),0
Moto (fisica),Temperatura,0
Spettroscopia di assorbimento,Campo elettrico,0
Energia,Elettrone,0
Indice di rifrazione,Moto (fisica),1
Spettro elettromagnetico,Magnete,1
Frattura (meccanica),Luce,0
Magnete,Chilogrammo,0
Distanza (matematica),Posizione,0
Polo (elettrotecnica),Forza,0
Specchio curvo,Riflessione (fisica),0
Campo magnetico,Metro,0
Lunghezza,Spettro elettromagnetico,0
Linea di campo,Elettrostatica,0
Energia,Laser,0
Grado di cristallinità,Durezza,0
Corrente elettrica,Circuiti in serie e in parallelo,0
Distanza (matematica),Resistenza elettrica,0
Distanza (matematica),Capacità elettrica,0
Effetto Doppler,Moto (fisica),1
Potenza (fisica),Laser,0
Energia potenziale,Magnete,0
Forza,Attrito,0
Luce,Lunghezza d'onda,0
Energia,Scorrimento viscoso,0
Energia potenziale,Velocità,0
Laser,Luce,1
Attrito,Elettrone,0
Ampiezza,Spettro elettromagnetico,0
Urto elastico,Forza,1
Campo gravitazionale terrestre,Chilogrammo,0
Riflessione interna totale,Indice di rifrazione,0
Rigidezza,Legge di Hooke,0
Legge di Hooke,Tensione (meccanica),0
Ampiezza,Intensità acustica,0
Dispersione ottica,Telescopio rifrattore,0
Fisica,Spettro elettromagnetico,0
Forza di Coulomb,Campo elettrico,0
Joule,Energia potenziale,0
Dispersione ottica,Energia,0
Magnete,Momento meccanico,0
Attrito,Interazione gravitazionale,0
Caduta libera,Campo gravitazionale,0
Velocità,Energia cinetica,0
Spettro elettromagnetico,Riflessione (fisica),0
Campo (fisica),Accelerazione,0
Attrito,Accelerazione,0
Energia,Tensione (meccanica),0
Potenza (fisica),Chilogrammo,0
